,fighter,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1668,Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",5.07,42%,8.16,50%,0.37,30%,89%,0.0
1669,Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,0.53,50%,23%,2.6
1670,Robert Sanchez,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 05, 1986",0.96,40%,1.78,46%,3.61,62%,50%,0.7
1671,Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",2.22,41%,4.79,41%,2.9,46%,62%,0.5
1672,Talita Bernardo,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",3.12,42%,4.04,55%,1.62,22%,28%,0.5
1673,Mike Santiago,"5' 10""",145 lbs.,"69""",Orthodox,"Jul 28, 1989",3.44,49%,3.58,36%,2.66,50%,53%,1.1
1674,Rob Wilkinson,"6' 3""",185 lbs.,"80""",Orthodox,"Feb 22, 1992",2.74,50%,5.66,39%,4.47,25%,0%,0.0
1675,Mads Burnell,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994",1.28,41%,2.71,51%,3.45,47%,22%,0.4
1676,Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.23,52%,2.23,52%,0.75,25%,90%,0.2
1677,Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.89,48%,3.0,64%,5.22,56%,77%,0.8
1678,Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,"Nov 25, 1991",10.22,61%,0.13,92%,3.98,100%,0%,2.0
1679,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0
1680,Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
1681,Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986",4.56,46%,8.35,38%,0.0,0%,0%,0.0
1682,Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",5.4,44%,7.22,58%,0.0,0%,83%,0.3
1683,Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983",7.09,58%,4.57,53%,0.0,0%,100%,0.0
1684,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,33%,4.49,56%,0.33,50%,0%,0.0
1685,Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7
1686,Mara Romero Borella,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986",2.54,37%,2.48,71%,1.83,44%,66%,0.2
1687,Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",3.0,56%,3.08,50%,0.89,100%,80%,0.0
1688,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",5.22,55%,4.84,46%,2.45,75%,66%,1.2
1689,Nasrat Haqparast,"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",5.81,47%,3.23,74%,0.18,16%,84%,0.0
1690,Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.5,45%,1.98,66%,2.33,29%,66%,0.5
1691,Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.1,31%,7.37,52%,0.75,21%,83%,0.0
1692,Salim Touahri,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.6,46%,2.87,58%,0.0,0%,83%,0.0
1693,Oskar Piechota,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.3,52%,3.93,51%,0.61,40%,38%,1.5
1694,Marcelo Golm,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.3,45%,0.45,50%,87%,0.5
1695,Karl Roberson,"6' 1""",185 lbs.,"74""",Southpaw,"Oct 04, 1990",3.0,51%,2.42,57%,0.99,57%,50%,0.8
1696,Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992",1.68,38%,1.87,48%,0.41,33%,58%,0.4
1697,Nadia Kassem,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
1698,Jessica-Rose Clark,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 28, 1987",4.68,51%,3.98,60%,1.01,55%,73%,0.4
1699,Shane Young,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 31, 1993",6.01,40%,5.15,56%,0.73,25%,64%,0.0
1700,Tai Tuivasa,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",4.38,50%,3.44,50%,0.0,0%,46%,0.0
1701,Wuliji Buren,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989",1.63,42%,2.96,56%,3.38,42%,71%,0.4
1702,Wu Yanan,"5' 8""",125 lbs.,"66""",Orthodox,"Apr 18, 1996",4.51,45%,4.82,51%,0.61,22%,66%,0.3
1703,Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",0.7,10%,1.88,72%,0.0,0%,0%,0.0
1704,Wang Guan,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",4.73,43%,3.27,60%,0.0,0%,0%,0.0
1705,Sheymon Moraes,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",3.0,42%,3.64,63%,0.0,0%,53%,0.0
1706,Song Kenan,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",4.39,46%,4.37,54%,0.0,0%,50%,0.0
1707,Song Yadong,"5' 8""",145 lbs.,"67""",Orthodox,"Dec 02, 1997",4.35,42%,3.64,57%,0.59,75%,56%,0.4
1708,Yan Xiaonan,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",6.42,42%,3.63,63%,1.0,75%,75%,0.0
1709,Muslim Salikhov,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984",2.85,46%,2.29,67%,0.87,30%,80%,0.0
1710,Hu Yaozong,"6' 3""",205 lbs.,"72""",Orthodox,"Apr 07, 1995",4.43,52%,5.23,38%,0.0,0%,0%,0.7
1711,Karine Gevorgyan,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",1.2,20%,1.8,76%,0.0,0%,0%,0.0
1712,Melinda Fabian,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987",4.03,41%,4.0,62%,0.0,0%,100%,0.0
1713,Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,37%,5.2,50%,0.84,50%,14%,0.0
1714,Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,"Feb 25, 1991",2.54,43%,3.97,57%,2.03,83%,66%,0.8
1715,Emily Whitmire,"5' 5""",115 lbs.,"63""",Orthodox,"May 24, 1991",2.71,30%,3.08,54%,1.1,50%,70%,0.6
1716,Gillian Robertson,"5' 5""",125 lbs.,"63""",Orthodox,"May 17, 1995",2.05,51%,2.1,51%,2.64,46%,0%,0.9
1717,Barb Honchak,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 30, 1979",4.04,30%,4.67,66%,0.0,0%,0%,1.3
1718,Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.0,58%,3.0,64%,7.5,100%,0%,0.0
1719,DeAnna Bennett,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",3.13,58%,3.27,58%,0.0,0%,0%,1.0
1720,Nicco Montano,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.6,41%,4.43,64%,2.25,54%,69%,0.4
1721,Sean O'Malley,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",6.35,57%,3.76,64%,1.05,50%,61%,1.1
1722,Ariel Beck,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990",4.44,34%,4.31,64%,0.0,0%,0%,0.0
1723,Montana De La Rosa,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.85,36%,3.39,45%,2.14,28%,57%,1.2
1724,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.95,51%,2.95,56%,1.85,33%,100%,1.2
1725,Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",3.91,39%,2.08,61%,7.71,43%,80%,0.3
1726,Markus Perez,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",2.6,47%,3.72,52%,0.81,25%,77%,1.0
1727,Alex Perez,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.62,47%,3.08,61%,2.92,45%,87%,1.3
1728,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",4.49,44%,4.8,58%,0.0,0%,78%,0.3
1729,Julian Marquez,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",3.5,40%,2.98,52%,0.0,0%,53%,3.4
1730,Michal Oleksiejczuk,"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995",4.83,56%,2.91,69%,1.05,66%,35%,0.0
1731,Mark De La Rosa,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.0,48%,0.54,13%,40%,0.2
1732,Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",2.73,37%,3.44,58%,2.59,37%,40%,1.1
1733,Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.25,36%,2.87,67%,0.58,30%,93%,0.6
1734,Matt Bessette,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",4.36,41%,4.45,58%,0.64,28%,61%,0.3
1735,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.95,46%,3.36,58%,1.68,27%,59%,0.5
1736,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.65,35%,4.33,60%,0.71,45%,56%,0.1
1737,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
1738,Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",6.85,48%,3.89,59%,1.07,50%,30%,0.5
1739,Maia Stevenson,"5' 4""",115 lbs.,"62""",Orthodox,"Mar 19, 1982",1.57,54%,3.13,33%,3.91,100%,50%,0.0
1740,Priscila Cachoeira,"5' 7""",135 lbs.,"65""",Orthodox,"Aug 19, 1988",3.84,37%,7.93,42%,0.0,0%,69%,0.0
1741,Polyana Viana,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992",3.71,41%,3.01,54%,1.12,33%,50%,3.4
1742,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.95,49%,2.63,61%,0.0,0%,82%,0.3
1743,Steven Peterson,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",4.65,35%,5.89,56%,2.02,28%,75%,0.4
1744,Geoff Neal,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",4.94,49%,4.93,61%,0.5,50%,92%,0.2
1745,Tim Williams,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 03, 1986",3.07,38%,3.55,48%,1.81,40%,100%,0.0
1746,Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0
1747,Manny Bermudez,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",2.92,61%,2.68,46%,3.06,54%,0%,3.1
1748,Marcin Prachnio,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988",5.4,47%,3.71,58%,0.0,0%,0%,0.0
1749,Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.74,38%,3.81,61%,0.28,5%,0%,2.2
1750,Yana Kunitskaya,"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",4.22,57%,2.62,51%,1.62,53%,50%,0.2
1751,Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",3.57,35%,3.81,59%,1.6,38%,62%,0.0
1752,Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",2.95,70%,2.53,35%,3.16,66%,100%,3.2
1753,Hakeem Dawodu,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.15,47%,2.31,63%,0.0,0%,85%,0.0
1754,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.41,53%,1.78,65%,1.18,33%,85%,0.0
1755,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",3.43,55%,2.63,55%,2.5,50%,40%,1.5
1756,John Phillips,"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",1.72,34%,4.03,49%,0.0,0%,7%,0.0
1757,Mike Rodriguez,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",4.61,59%,3.39,40%,0.0,0%,41%,0.0
1758,Lauren Mueller,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",4.08,41%,3.77,58%,0.7,50%,71%,0.0
1759,Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4
1760,Ricky Rainey,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",2.55,48%,2.62,46%,0.95,18%,55%,0.0
1761,Ricky Simon,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.08,42%,3.13,64%,6.93,54%,72%,0.4
1762,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",5.58,49%,3.83,65%,1.67,45%,57%,0.5
1763,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.15,50%,4.28,65%,1.64,29%,28%,0.7
1764,Craig White,"6' 2""",170 lbs.,"76""",Orthodox,"Jul 01, 1990",1.23,40%,3.28,39%,0.0,0%,50%,0.8
1765,Carlo Pedersoli Jr.,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993",4.17,37%,4.12,61%,2.91,44%,0%,0.0
1766,Jose Torres,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992",4.37,36%,9.84,50%,1.28,33%,75%,0.0
1767,Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986",1.1,20%,3.62,49%,1.35,26%,16%,0.3
1768,Nathaniel Wood,"5' 6""",140 lbs.,"69""",Orthodox,"May 08, 1993",6.28,46%,4.36,53%,1.29,46%,75%,0.9
1769,Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.52,43%,3.69,57%,1.88,46%,65%,0.4
1770,Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
1771,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
1772,Petr Yan,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",5.99,52%,3.55,62%,2.14,66%,90%,0.1
1773,Luis Pena,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993",3.26,47%,2.74,50%,1.37,33%,45%,1.4
1774,Michael Trizano,"5' 11""",155 lbs.,"71""",Orthodox,"Dec 31, 1991",3.02,53%,2.11,63%,0.4,50%,80%,0.8
1775,Jay Cucciniello,"5' 7""",155 lbs.,,Orthodox,"Jul 23, 1986",0.93,21%,4.73,36%,0.0,0%,71%,0.0
1776,Richie Smullen,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",1.98,77%,2.26,65%,8.49,66%,0%,0.0
1777,Joe Giannetti,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",1.93,38%,2.8,40%,1.0,16%,0%,0.0
1778,Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",3.33,51%,2.98,57%,1.25,22%,47%,0.0
1779,Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",3.93,52%,1.8,61%,0.0,0%,57%,1.0
1780,Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.29,61%,1.46,60%,3.26,46%,33%,2.3
1781,John Gunther,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",1.65,37%,3.72,46%,7.08,42%,0%,0.0
1782,Tyler Diamond,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.4,47%,2.53,44%,3.0,75%,70%,0.0
1783,Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4
1784,Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",3.32,40%,4.15,54%,1.06,54%,75%,0.2
1785,Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",5.59,52%,4.17,67%,2.23,56%,85%,0.7
1786,Said Nurmagomedov,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",4.65,46%,2.37,60%,0.45,7%,71%,0.0
1787,Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",3.34,39%,3.52,52%,0.34,50%,56%,0.2
1788,Pingyuan Liu,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0
1789,Darko Stosic,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",2.61,45%,4.04,58%,3.42,50%,83%,0.0
1790,David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",3.24,40%,4.07,54%,0.96,30%,57%,2.2
1791,Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",2.86,35%,4.26,43%,0.0,0%,61%,0.3
1792,Nad Narimani,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",3.33,42%,3.0,58%,1.92,41%,70%,0.0
1793,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",3.2,37%,1.27,57%,1.0,100%,25%,0.0
1794,Montel Jackson,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",3.77,55%,1.5,56%,4.15,77%,66%,0.2
1795,Zhang Weili,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",6.38,45%,4.43,53%,1.26,23%,100%,0.5
1796,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",4.14,56%,2.58,56%,1.08,45%,51%,0.7
1797,Matt Sayles,"5' 7""",145 lbs.,"68""",Orthodox,"Feb 21, 1994",5.44,42%,3.13,61%,0.0,0%,81%,0.4
1798,Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",5.1,36%,7.63,52%,1.5,25%,100%,0.0
1799,Stefan Sekulic,"6' 0""",170 lbs.,"75""",Southpaw,"Feb 12, 1992",1.47,37%,2.4,57%,1.0,20%,33%,0.0
1800,Khalid Murtazaliev,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993",4.8,69%,0.4,78%,7.5,100%,33%,0.0
1801,Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",3.67,44%,2.83,63%,0.25,33%,80%,0.0
1802,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988",0.18,8%,6.14,36%,0.0,0%,25%,0.0
1803,Ryan Spann,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",3.55,45%,3.45,47%,1.72,41%,60%,1.7
1804,Marina Rodriguez,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",4.86,50%,3.16,53%,0.36,33%,59%,0.2
1805,Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.42,41%,4.25,52%,0.29,66%,70%,0.1
1806,Luigi Vendramini,"5' 8""",170 lbs.,"73""",Orthodox,"Jan 16, 1996",2.26,42%,2.26,59%,0.0,0%,0%,2.0
1807,Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",5.32,48%,4.02,50%,0.15,50%,66%,0.0
1808,Livinha Souza,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",2.06,45%,3.38,62%,2.4,44%,40%,1.2
1809,Mayra Bueno Silva,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",4.06,57%,4.89,47%,0.0,0%,73%,1.6
1810,Jalin Turner,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",6.2,47%,4.37,45%,0.71,66%,78%,1.8
1811,Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3
1812,Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.27,46%,3.81,58%,0.48,37%,63%,0.0
1813,Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.5,41%,4.15,44%,0.72,100%,44%,0.0
1814,Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7
1815,Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",5.21,52%,3.0,50%,1.44,40%,80%,0.2
1816,Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",5.64,55%,2.65,59%,0.74,100%,100%,0.7
1817,Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.85,37%,3.88,60%,1.06,33%,63%,1.2
1818,Hannah Cifers,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",4.99,44%,5.39,52%,0.26,100%,64%,0.3
1819,Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
1820,Laureano Staropoli,"6' 1""",170 lbs.,"71""",Orthodox,"Feb 27, 1993",4.4,34%,4.58,53%,0.25,20%,57%,0.0
1821,Ian Heinisch,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",3.28,50%,2.79,58%,1.13,18%,60%,0.8
1822,Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.66,28%,4.8,55%,1.3,18%,66%,0.9
1823,Jesus Pinedo,"5' 10""",155 lbs.,,Southpaw,"Jun 22, 1996",3.23,38%,4.37,52%,2.5,100%,100%,0.0
1824,Johnny Walker,"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",4.41,72%,3.51,31%,0.4,100%,60%,1.2
1825,Su Mudaerji,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.49,51%,2.19,68%,0.4,100%,77%,0.8
1826,Vince Morales,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 12, 1990",4.22,39%,4.16,53%,0.0,0%,55%,0.0
1827,Martin Day,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
1828,Sergei Pavlovich,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",6.55,52%,4.59,44%,0.0,0%,50%,0.0
1829,Chris Gutierrez,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",4.3,57%,2.45,59%,0.57,60%,73%,0.2
1830,Macy Chiasson,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",4.16,49%,2.17,46%,0.98,21%,64%,0.5
1831,Edmen Shahbazyan,"6' 2""",185 lbs.,"74""",Orthodox,"Nov 20, 1997",3.85,51%,4.31,49%,4.44,40%,58%,0.5
1832,Leah Letson,"5' 7""",145 lbs.,"71""",,"Aug 21, 1992",4.87,40%,3.8,63%,0.0,0%,100%,0.0
1833,Michel Batista,"6' 3""",260 lbs.,,Orthodox,"Apr 20, 1984",0.0,0%,4.03,40%,6.72,50%,0%,0.0
1834,Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",1.11,66%,6.11,4%,0.0,0%,0%,0.0
1835,Juan Espino,"6' 3""",250 lbs.,"80""",,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1
1836,Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.69,37%,4.47,53%,0.19,25%,87%,0.0
1837,Pannie Kianzad,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",5.14,49%,3.62,57%,0.22,14%,83%,0.2
1838,Julija Stoliarenko,"5' 7""",135 lbs.,"66""",,"Apr 08, 1993",2.1,34%,3.87,50%,0.0,0%,66%,0.5
1839,Maurice Greene,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",4.12,44%,4.37,45%,0.0,0%,28%,0.6
1840,Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984",4.09,56%,2.51,54%,0.65,60%,56%,0.7
1841,Roosevelt Roberts,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",3.03,49%,2.27,52%,1.75,53%,58%,1.1
1842,Kai Kara-France,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",5.02,39%,3.84,66%,0.53,23%,86%,0.0
1843,Sodiq Yusuff,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",6.1,49%,4.06,58%,0.0,0%,72%,0.3
1844,Jimmy Crute,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",4.36,57%,2.31,54%,4.33,75%,60%,2.4
1845,Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",0.67,32%,2.27,38%,0.0,0%,54%,0.0
1846,Damir Ismagulov,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 03, 1991",3.76,43%,1.87,69%,1.67,31%,100%,0.0
1847,Suman Mokhtarian,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.0,0%,0%,0.0
1848,Kyle Nelson,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",3.63,41%,6.82,47%,0.96,12%,60%,1.9
1849,Jordan Griffin,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",2.6,46%,3.18,48%,0.78,23%,42%,1.8
1850,Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0
1851,Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",3.39,37%,2.16,69%,0.34,100%,78%,0.0
1852,Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",3.73,43%,2.67,54%,0.0,0%,66%,0.0
1853,Ariane Lipski,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",3.03,32%,4.45,48%,0.27,25%,45%,0.5
1854,Vinicius Moreira,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",3.15,59%,5.07,43%,1.97,18%,0%,1.3
